Tipo,Modelo,Hidden Units,Learning Rate,Ablación / Config,RMSE,MAE,sMAPE (%)
Grid Search,GRU,32,0.01,"Hidden=32, LR=0.01",1.4242234882857079,1.1895348161458976,3.3282322378254063
Grid Search,GRU,64,0.005,"Hidden=64, LR=0.005",1.4334068824790138,1.1704455651342869,3.2772775727995036
Grid Search,GRU,128,0.01,"Hidden=128, LR=0.01",1.4839186444794823,1.1687946913142995,3.2608433544764734
Ablación,LSTM,64,0.005,Sin Guardarraíl V_c (es_interpolado),1.4840570800847392,1.1865130789577953,3.3259195881840813
Ablación,LSTM,64,0.005,Sin Exógenas IPC/WTI,1.4885061126829022,1.1788720419009528,3.303066461428684
Ablación,GRU,64,0.005,Sin Guardarraíl V_c (es_interpolado),1.4964492353751861,1.2345552325248714,3.46665207885895
Grid Search,LSTM,64,0.01,"Hidden=64, LR=0.01",1.5029142181745396,1.231076373904943,3.465215964722342
Grid Search,GRU,64,0.01,"Hidden=64, LR=0.01",1.570014174746414,1.318111285567283,3.702945326685494
Grid Search,LSTM,64,0.005,"Hidden=64, LR=0.005",1.5706230209986307,1.3326898142695427,3.7608858499542728
Grid Search,GRU,32,0.005,"Hidden=32, LR=0.005",1.610547321757635,1.343513748049735,3.782740947796423
Grid Search,GRU,128,0.005,"Hidden=128, LR=0.005",1.6564937454161943,1.423772782087326,4.01820787587283
Grid Search,LSTM,32,0.005,"Hidden=32, LR=0.005",1.677267728750309,1.4125606268644333,3.9981071752678177
Grid Search,LSTM,32,0.01,"Hidden=32, LR=0.01",1.7007455171049701,1.4500074073672298,4.099149858581037
Grid Search,GRU,128,0.001,"Hidden=128, LR=0.001",1.7506449243078754,1.4041812792420376,3.959824678375411
Grid Search,GRU,64,0.001,"Hidden=64, LR=0.001",1.7660901381465568,1.3946669248243175,3.894133785763084
Grid Search,LSTM,128,0.005,"Hidden=128, LR=0.005",1.7942909357318797,1.4445270550747693,4.035096216635576
Grid Search,LSTM,32,0.001,"Hidden=32, LR=0.001",1.8181245115246365,1.446488943696022,4.064917245183307
Ablación,GRU,64,0.005,Sin Exógenas IPC/WTI,1.911691938577631,1.536499506731828,4.3140773290099155
Grid Search,LSTM,64,0.001,"Hidden=64, LR=0.001",1.9293913531920972,1.567415866752464,4.393464043017436
Grid Search,LSTM,128,0.01,"Hidden=128, LR=0.01",2.021608518436673,1.642125043024618,4.603948968082392
Grid Search,GRU,32,0.001,"Hidden=32, LR=0.001",2.030887626716617,1.6827545394500085,4.725912732501708
Grid Search,LSTM,128,0.001,"Hidden=128, LR=0.001",2.035354555473486,1.6768999037643255,4.706944397868696
